"","p_d_node","p_state","d_state","change","p_pp","d_pp","dpp>ppp"
"1405","1800_699",0,0,0,0.998,1,1
"1406","1799_1801",0,0,0,0.99,0.994,1
"1407","1801_700",0,0,0,0.994,1,1
"1408","1801_1802",0,0,0,0.994,1,1
"1409","1802_701",0,0,0,1,1,0
"1410","1802_702",0,0,0,1,1,0
"1411","1791_1803",0,0,0,0.94,0.916,0
"1412","1803_703",0,0,0,0.916,1,1
"1413","1803_1804",0,0,0,0.916,0.922,1
"1414","1804_1805",0,0,0,0.922,0.928,1
"1415","1805_1806",0,0,0,0.928,0.928,0
"1416","1806_1807",0,0,0,0.928,0.99,1
"1417","1807_704",0,0,0,0.99,1,1
"1418","1807_705",0,0,0,0.99,1,1
"1419","1806_1808",0,0,0,0.928,0.96,1
"1420","1808_1809",0,0,0,0.96,0.954,0
"1421","1809_706",0,0,0,0.954,1,1
"1422","1809_1810",0,0,0,0.954,0.964,1
"1423","1810_1811",0,0,0,0.964,0.97,1
"1424","1811_1812",0,0,0,0.97,0.99,1
"1425","1812_707",0,0,0,0.99,1,1
"1426","1812_1813",0,0,0,0.99,0.994,1
"1427","1813_708",0,0,0,0.994,1,1
"1428","1813_709",0,0,0,0.994,1,1
"1429","1811_710",0,0,0,0.97,1,1
"1430","1810_711",0,0,0,0.964,1,1
"1431","1808_1814",0,0,0,0.96,0.956,0
"1432","1814_712",0,0,0,0.956,1,1
"1433","1814_1815",0,0,0,0.956,0.954,0
"1434","1815_713",0,0,0,0.954,1,1
"1435","1815_1816",0,0,0,0.954,0.998,1
"1436","1816_714",0,0,0,0.998,1,1
"1437","1816_1817",0,0,0,0.998,1,1
"1438","1817_715",0,0,0,1,1,0
"1439","1817_716",0,0,0,1,1,0
"1440","1805_1818",0,0,0,0.928,0.934,1
"1441","1818_1819",0,0,0,0.934,0.946,1
"1442","1819_717",0,0,0,0.946,1,1
"1443","1819_1820",0,0,0,0.946,0.936,0
"1444","1820_1821",0,0,0,0.936,0.952,1
"1445","1821_1822",0,0,0,0.952,1,1
"1446","1822_718",0,1,1,1,1,0
"1447","1822_719",0,0,0,1,1,0
"1448","1821_1823",0,0,0,0.952,0.944,0
"1449","1823_1824",0,0,0,0.944,0.938,0
"1450","1824_1825",0,0,0,0.938,0.732,0
"1451","1825_720",0,1,1,0.732,1,1
"1452","1825_721",0,0,0,0.732,1,1
"1453","1824_722",0,0,0,0.938,1,1
"1454","1823_1826",0,0,0,0.944,0.976,1
"1455","1826_723",0,0,0,0.976,1,1
"1456","1826_724",0,0,0,0.976,1,1
"1457","1820_1827",0,0,0,0.936,0.932,0
"1458","1827_1828",0,0,0,0.932,0.96,1
"1459","1828_725",0,0,0,0.96,1,1
"1460","1828_726",0,0,0,0.96,1,1
"1461","1827_1829",0,0,0,0.932,0.92,0
"1462","1829_1830",0,0,0,0.92,0.764,0
"1463","1830_727",0,1,1,0.764,1,1
"1464","1830_1831",0,0,0,0.764,0.93,1
"1465","1831_728",0,0,0,0.93,1,1
"1466","1831_729",0,0,0,0.93,1,1
"1467","1829_730",0,0,0,0.92,1,1
"1468","1818_1832",0,0,0,0.934,0.808,0
"1469","1832_1833",0,0,0,0.808,0.708,0
"1470","1833_1834",0,0,0,0.708,0.658,0
"1471","1834_731",0,0,0,0.658,1,1
"1472","1834_732",0,1,1,0.658,1,1
"1473","1833_733",0,1,1,0.708,1,1
"1474","1832_1835",0,0,0,0.808,0.936,1
"1475","1835_1836",0,0,0,0.936,0.988,1
"1476","1836_734",0,0,0,0.988,1,1
"1477","1836_1837",0,0,0,0.988,0.996,1
"1478","1837_735",0,0,0,0.996,1,1
"1479","1837_736",0,0,0,0.996,1,1
"1480","1835_1838",0,0,0,0.936,0.932,0
"1481","1838_1839",0,0,0,0.932,0.928,0
"1482","1839_737",0,0,0,0.928,1,1
"1483","1839_1840",0,0,0,0.928,0.996,1
"1484","1840_738",0,0,0,0.996,1,1
"1485","1840_739",0,0,0,0.996,1,1
"1486","1838_1841",0,0,0,0.932,0.922,0
"1487","1841_1842",0,0,0,0.922,1,1
"1488","1842_740",0,0,0,1,1,0
"1489","1842_741",0,0,0,1,1,0
"1490","1841_1843",0,0,0,0.922,0.93,1
"1491","1843_1844",0,0,0,0.93,0.964,1
"1492","1844_1845",0,0,0,0.964,0.992,1
"1493","1845_742",0,0,0,0.992,1,1
"1494","1845_743",0,0,0,0.992,1,1
"1495","1844_1846",0,0,0,0.964,1,1
"1496","1846_1847",0,0,0,1,1,0
"1497","1847_744",0,0,0,1,1,0
"1498","1847_745",0,0,0,1,1,0
"1499","1846_746",0,0,0,1,1,0
"1500","1843_1848",0,0,0,0.93,0.916,0
"1501","1848_1849",0,0,0,0.916,0.928,1
"1502","1849_1850",0,0,0,0.928,0.956,1
"1503","1850_1851",0,0,0,0.956,0.984,1
"1504","1851_1852",0,0,0,0.984,1,1
"1505","1852_747",0,0,0,1,1,0
"1506","1852_748",0,0,0,1,1,0
"1507","1851_1853",0,0,0,0.984,0.982,0
"1508","1853_1854",0,0,0,0.982,0.98,0
"1509","1854_749",0,1,1,0.98,1,1
"1510","1854_750",0,0,0,0.98,1,1
"1511","1853_751",0,0,0,0.982,1,1
"1512","1850_1855",0,0,0,0.956,0.972,1
"1513","1855_752",0,0,0,0.972,1,1
"1514","1855_753",0,0,0,0.972,1,1
"1515","1849_1856",0,0,0,0.928,0.93,1
"1516","1856_754",0,0,0,0.93,1,1
"1517","1856_1857",0,0,0,0.93,0.902,0
"1518","1857_1858",0,0,0,0.902,0.884,0
"1519","1858_1859",0,0,0,0.884,0.772,0
"1520","1859_755",0,1,1,0.772,1,1
"1521","1859_756",0,0,0,0.772,1,1
"1522","1858_757",0,0,0,0.884,1,1
"1523","1857_1860",0,0,0,0.902,0.898,0
"1524","1860_1861",0,0,0,0.898,0.904,1
"1525","1861_758",0,0,0,0.904,1,1
"1526","1861_1862",0,0,0,0.904,0.79,0
"1527","1862_759",0,0,0,0.79,1,1
"1528","1862_760",0,1,1,0.79,1,1
"1529","1860_1863",0,0,0,0.898,0.918,1
"1530","1863_761",0,0,0,0.918,1,1
"1531","1863_1864",0,0,0,0.918,0.912,0
"1532","1864_1865",0,0,0,0.912,0.668,0
"1533","1865_762",0,0,0,0.668,1,1
"1534","1865_1866",0,1,1,0.668,0.774,1
"1535","1866_1867",1,1,0,0.774,0.774,0
"1536","1867_1868",1,1,0,0.774,0.796,1
"1537","1868_763",1,0,1,0.796,1,1
"1538","1868_764",1,1,0,0.796,1,1
"1539","1867_1869",1,0,1,0.774,0.762,0
"1540","1869_765",0,0,0,0.762,1,1
"1541","1869_1870",0,0,0,0.762,0.918,1
"1542","1870_1871",0,0,0,0.918,0.638,0
"1543","1871_766",0,1,1,0.638,1,1
"1544","1871_1872",0,0,0,0.638,0.86,1
"1545","1872_1873",0,0,0,0.86,0.99,1
"1546","1873_767",0,0,0,0.99,1,1
"1547","1873_1874",0,0,0,0.99,0.942,0
"1548","1874_768",0,1,1,0.942,1,1
"1549","1874_769",0,0,0,0.942,1,1
"1550","1872_1875",0,0,0,0.86,0.942,1
"1551","1875_770",0,0,0,0.942,1,1
"1552","1875_1876",0,0,0,0.942,0.972,1
"1553","1876_771",0,0,0,0.972,1,1
"1554","1876_772",0,0,0,0.972,1,1
"1555","1870_773",0,0,0,0.918,1,1
"1556","1866_774",1,1,0,0.774,1,1
"1557","1864_1877",0,0,0,0.912,0.932,1
"1558","1877_1878",0,0,0,0.932,0.962,1
"1559","1878_775",0,0,0,0.962,1,1
"1560","1878_1879",0,0,0,0.962,0.898,0
"1561","1879_776",0,0,0,0.898,1,1
"1562","1879_777",0,1,1,0.898,1,1
"1563","1877_778",0,0,0,0.932,1,1
"1564","1848_1880",0,0,0,0.916,0.576,0
"1565","1880_1881",0,0,0,0.576,0.8,1
"1566","1881_1882",0,0,0,0.8,0.922,1
"1567","1882_1883",0,0,0,0.922,0.928,1
"1568","1883_1884",0,0,0,0.928,0.948,1
"1569","1884_1885",0,0,0,0.948,0.958,1
"1570","1885_779",0,0,0,0.958,1,1
"1571","1885_780",0,0,0,0.958,1,1
"1572","1884_781",0,0,0,0.948,1,1
"1573","1883_1886",0,0,0,0.928,0.924,0
"1574","1886_1887",0,0,0,0.924,0.952,1
"1575","1887_1888",0,0,0,0.952,0.916,0
"1576","1888_782",0,0,0,0.916,1,1
