"","p_d_node","p_state","d_state","change","p_pp","d_pp","dpp>ppp"
"1984","2087_991",0,0,0,0.644,1,1
"1985","2087_2088",0,0,0,0.644,0.59,0
"1986","2088_992",0,1,1,0.59,1,1
"1987","2088_993",0,0,0,0.59,1,1
"1988","2086_994",0,0,0,0.634,1,1
"1989","2083_2089",0,0,0,0.514,0.58,1
"1990","2089_2090",0,0,0,0.58,0.98,1
"1991","2090_995",0,0,0,0.98,1,1
"1992","2090_996",0,0,0,0.98,1,1
"1993","2089_997",0,1,1,0.58,1,1
"1994","2082_2091",0,0,0,0.516,0.538,1
"1995","2091_2092",0,0,0,0.538,0.524,0
"1996","2092_2093",0,0,0,0.524,0.572,1
"1997","2093_998",0,0,0,0.572,1,1
"1998","2093_2094",0,0,0,0.572,0.588,1
"1999","2094_2095",0,0,0,0.588,0.574,0
"2000","2095_999",0,0,0,0.574,1,1
"2001","2095_2096",0,0,0,0.574,0.546,0
"2002","2096_1000",0,0,0,0.546,1,1
"2003","2096_2097",0,1,1,0.546,0.982,1
"2004","2097_1001",1,1,0,0.982,1,1
"2005","2097_2098",1,1,0,0.982,0.972,0
"2006","2098_1002",1,0,1,0.972,1,1
"2007","2098_1003",1,1,0,0.972,1,1
"2008","2094_2099",0,0,0,0.588,0.716,1
"2009","2099_1004",0,0,0,0.716,1,1
"2010","2099_2100",0,0,0,0.716,1,1
"2011","2100_1005",0,0,0,1,1,0
"2012","2100_1006",0,0,0,1,1,0
"2013","2092_2101",0,0,0,0.524,0.614,1
"2014","2101_2102",0,0,0,0.614,0.628,1
"2015","2102_1007",0,0,0,0.628,1,1
"2016","2102_2103",0,0,0,0.628,0.606,0
"2017","2103_1008",0,1,1,0.606,1,1
"2018","2103_1009",0,0,0,0.606,1,1
"2019","2101_2104",0,0,0,0.614,0.616,1
"2020","2104_1010",0,1,1,0.616,1,1
"2021","2104_1011",0,0,0,0.616,1,1
"2022","2091_2105",0,0,0,0.538,0.61,1
"2023","2105_2106",0,0,0,0.61,0.606,0
"2024","2106_2107",0,0,0,0.606,0.6,0
"2025","2107_1012",0,0,0,0.6,1,1
"2026","2107_2108",0,0,0,0.6,0.656,1
"2027","2108_2109",0,0,0,0.656,0.552,0
"2028","2109_2110",0,0,0,0.552,0.708,1
"2029","2110_1013",0,0,0,0.708,1,1
"2030","2110_1014",0,0,0,0.708,1,1
"2031","2109_1015",0,1,1,0.552,1,1
"2032","2108_2111",0,1,1,0.656,0.916,1
"2033","2111_2112",1,1,0,0.916,0.96,1
"2034","2112_1016",1,1,0,0.96,1,1
"2035","2112_2113",1,1,0,0.96,0.994,1
"2036","2113_1017",1,1,0,0.994,1,1
"2037","2113_2114",1,1,0,0.994,1,1
"2038","2114_1018",1,1,0,1,1,0
"2039","2114_1019",1,1,0,1,1,0
"2040","2111_2115",1,1,0,0.916,0.894,0
"2041","2115_1020",1,1,0,0.894,1,1
"2042","2115_1021",1,1,0,0.894,1,1
"2043","2106_2116",0,0,0,0.606,0.528,0
"2044","2116_2117",0,0,0,0.528,0.526,0
"2045","2117_2118",0,0,0,0.526,0.544,1
"2046","2118_1022",0,0,0,0.544,1,1
"2047","2118_1023",0,1,1,0.544,1,1
"2048","2117_2119",0,0,0,0.526,0.502,0
"2049","2119_1024",0,1,1,0.502,1,1
"2050","2119_1025",0,0,0,0.502,1,1
"2051","2116_2120",0,0,0,0.528,0.502,0
"2052","2120_2121",0,0,0,0.502,0.734,1
"2053","2121_1026",0,0,0,0.734,1,1
"2054","2121_1027",0,1,1,0.734,1,1
"2055","2120_2122",0,0,0,0.502,0.55,1
"2056","2122_1028",0,1,1,0.55,1,1
"2057","2122_2123",0,0,0,0.55,0.832,1
"2058","2123_2124",0,0,0,0.832,0.896,1
"2059","2124_1029",0,0,0,0.896,1,1
"2060","2124_2125",0,0,0,0.896,0.908,1
"2061","2125_2126",0,0,0,0.908,0.882,0
"2062","2126_1030",0,0,0,0.882,1,1
"2063","2126_1031",0,1,1,0.882,1,1
"2064","2125_1032",0,0,0,0.908,1,1
"2065","2123_1033",0,0,0,0.832,1,1
"2066","2105_2127",0,0,0,0.61,0.59,0
"2067","2127_1034",0,0,0,0.59,1,1
"2068","2127_2128",0,0,0,0.59,0.626,1
"2069","2128_2129",0,0,0,0.626,0.52,0
"2070","2129_1035",0,1,1,0.52,1,1
"2071","2129_2130",0,0,0,0.52,0.972,1
"2072","2130_2131",0,0,0,0.972,0.99,1
"2073","2131_1036",0,0,0,0.99,1,1
"2074","2131_1037",0,0,0,0.99,1,1
"2075","2130_1038",0,0,0,0.972,1,1
"2076","2128_2132",0,0,0,0.626,0.656,1
"2077","2132_2133",0,0,0,0.656,0.538,0
